,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
6544,1.13277E+18,Downtown 1BR W/ Parking &Balcony,24388042,DeLuxe,Not Available,Near North Side,41.8932499,-87.61716483,Entire home/apt,166,32,0,Not Available,Not Available,11,365,0
6545,1.13288E+18,Luxurious Renovated Apartment,571839919,Israel,Not Available,Ashburn,41.75015,-87.68771,Entire home/apt,0,32,0,Not Available,Not Available,1,179,0
6546,1.1333E+18,Chic River North Condo 2BR 2BA with Private Balcon,235678953,Patty,Not Available,Near North Side,41.89179,-87.63594,Entire home/apt,293,2,50,3/2/2025,4.53,27,328,50
6547,1.13331E+18,Logan Square Hotel Room 302,565344683,Flora,Not Available,Logan Square,41.9169925,-87.69815943,Private room,65,32,1,5/31/2024,0.1,29,162,1
6548,1.13348E+18,2BR Trendy Urban Apartment,490752710,Nell,Not Available,West Town,41.90398,-87.68106,Entire home/apt,139,1,48,2/24/2025,4.43,7,177,48
6549,1.13351E+18,King Studio Suite Near Lake Shore Park Chicago,446820235,LuxurybookingsFZE,Not Available,Near North Side,41.90032,-87.62229,Entire home/apt,189,32,0,Not Available,Not Available,123,1,0
6550,1.13355E+18,Wrigleyville Garden 3BR/9beds Pod,545236821,Villa,Not Available,Lake View,41.9498248,-87.6573134,Entire home/apt,406,2,7,9/8/2024,0.69,30,273,7
6551,1.13389E+18,Lovely space available,469981935,Horacio,Not Available,West Town,41.90782,-87.69478,Private room,103,32,0,Not Available,Not Available,1,89,0
6552,1.13409E+18,"Blueground | River North, pool, gym, nr Riverwalk",107434423,Blueground,Not Available,Near North Side,41.890516,-87.635955,Entire home/apt,181,32,1,12/2/2024,0.29,597,213,1
6553,1.1341E+18,Newly Remodeled in West Town,9038302,Sarah,Not Available,West Town,41.8988434,-87.6722756,Entire home/apt,155,3,24,1/26/2025,2.47,1,34,24
6554,1.13435E+18,Private studio near Wrigley,376871249,Nicholas,Not Available,Uptown,41.9620563,-87.66685526,Entire home/apt,131,2,38,10/27/2024,3.48,1,55,38
6555,1.13437E+18,Fulton Boulevard Flat,572175695,John,Not Available,East Garfield Park,41.88706,-87.71004,Entire home/apt,108,1,5,7/7/2024,0.51,1,259,5
6556,1.13484E+18,Spacious Room with office,566397122,Alis,Not Available,West Town,41.91106,-87.66766,Private room,217,1,0,Not Available,Not Available,5,253,0
6557,1.13509E+18,NEW apartment in Lincoln Park,280674624,Cassidy,Not Available,Lincoln Park,41.93217,-87.64178,Entire home/apt,0,32,0,Not Available,Not Available,1,22,0
6558,1.13546E+18,McCormick 3B/2Ba for up to 10 guests w opt parking,370154553,Innesa,Not Available,Near South Side,41.85554,-87.62523,Entire home/apt,288,2,18,2/9/2025,1.69,24,323,18
6559,1.13547E+18,Logan Square Hotel Room 307,565344683,Flora,Not Available,Logan Square,41.91664392,-87.69799242,Private room,55,32,1,6/6/2024,0.11,29,0,1
